gen,elapsed_s,sigma,avg_r,eval_wr,best_wr,param_norm
1,367.9,0.2644,0.1250,,0.0833,0.0048
2,704.6,0.2548,0.0625,0.3750,0.3750,0.0144
3,846.3,0.2337,0.3125,,0.3750,0.0253
4,1207.3,0.2253,0.2500,0.2500,0.3750,0.0375
5,1327.0,0.2054,0.6250,,0.3750,0.0522
6,1663.2,0.1992,0.5000,0.2917,0.3750,0.0695
7,1816.0,0.1827,0.3750,,0.3750,0.0847
3,1287.7,0.2364,0.2188,,0.3333,0.0277
4,2639.5,0.2012,0.3438,0.4333,0.4333,0.0411
5,3212.5,0.1422,0.4375,,0.4333,0.0547
6,3653.6,0.1227,0.3750,,0.4333,0.0726
7,4383.6,0.1096,0.2812,,0.4333,0.0939
8,5512.7,0.0909,0.2188,0.1667,0.4333,0.1208
9,6117.3,0.0680,0.4062,,0.4333,0.1526
10,6509.4,0.0600,0.3750,,0.4333,0.1933
11,7157.5,0.0600,0.4688,,0.4333,0.2266
12,8505.0,0.0600,0.2812,0.2333,0.4333,0.2580
13,8937.7,0.0600,0.5312,,0.4333,0.2909
14,9489.4,0.0600,0.3438,,0.4333,0.3135
15,10099.4,0.0600,0.2812,,0.4333,0.3412
16,11332.5,0.0600,0.3438,0.5000,0.5000,0.3873
17,11940.2,0.0600,0.3125,,0.5000,0.4383
18,12543.2,0.0600,0.2500,,0.5000,0.4647
19,13049.9,0.0600,0.3438,,0.5000,0.4901
20,14425.4,0.0600,0.2500,0.2000,0.5000,0.5311
21,14953.1,0.0600,0.4062,,0.5000,0.5860
22,15474.8,0.0600,0.5312,,0.5000,0.6373
23,16037.0,0.0600,0.3125,,0.5000,0.6893
24,17250.1,0.0600,0.5625,0.1333,0.5000,0.7387
25,17911.5,0.0600,0.2500,,0.5000,0.7783
26,18609.6,0.0600,0.2500,,0.5000,0.8087
27,19133.8,0.0600,0.3125,,0.5000,0.8276
28,20279.4,0.0600,0.2188,0.3667,0.5000,0.8318
29,20923.6,0.0600,0.4062,,0.5000,0.8478
30,21446.6,0.0600,0.3125,,0.5000,0.8572
31,22014.5,0.0600,0.5312,,0.5000,0.8852
32,23120.0,0.0600,0.3125,0.4000,0.5000,0.9194
33,23728.0,0.0600,0.2188,,0.5000,0.9546
34,24469.5,0.0600,0.3750,,0.5000,0.9877
35,25045.8,0.0600,0.3438,,0.5000,1.0112
36,26158.9,0.0600,0.4062,0.2333,0.5000,1.0405
37,26816.4,0.0600,0.4062,,0.5000,1.0658
38,27321.5,0.0600,0.5000,,0.5000,1.0883
39,27940.7,0.0600,0.2188,,0.5000,1.1154
40,29047.1,0.0600,0.1562,0.2333,0.5000,1.1504
